"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
IA,601996,600070,626526,644262,669473,696730,698683,747574,781902,821912,850609,862483,904471,962796,949663,942050,979112,979937,962094,1038993,983303,968673,969163,953081,936823,897903,901984,906929,978710,940800,949263,985355,976971,1039917,1071231,1109452,1152715,1139792,1148872,1199639,1196131,1167631,1197176,1192800,1247169,1278342,1303065,1378607,1441784,1448521,1501469,1500596,1431310,1521719,1544671,1497299,1527134,1559393,1616101,,,,,,,,,,,,,,,,,,,,,,,,
ID,190661,202853,211160,213298,230412,234742,245066,266750,287248,286782,296399,311605,334033,337008,347813,358858,362198,366421,369908,384011,347655,361884,350310,345649,346809,354814,342134,345498,365706,399732,409001,417097,422133,437169,452508,466129,501272,504020,507513,533204,544380,503420,498672,471950,503534,514313,526508,541391,537298,502530,519060,518348,511640,527992,521358,537058,538005,553515,553287,,,,,,,,,,,,,,,,,,,,,,,,
IL,2523973,2558990,2656186,2719427,2849301,3026466,3185513,3315076,3450826,3634712,3696737,3722756,3929667,4019481,3956458,3860591,4019369,4099481,4199421,4049381,3768260,3547208,3394044,3472747,3502000,3434273,3416921,3472023,3702319,3619229,3612494,3678496,3650581,3753510,3773746,3886599,3970151,3944363,3856606,4024011,4029159,3905501,3920039,3945574,3993440,4140656,3991822,4081334,4083961,3859234,3955757,3938519,3818858,3974907,4045886,3893182,3900315,3875154,4011952,,,,,,,,,,,,,,,,,,,,,,,,
IN,1530437,1551091,1580987,1635028,1714801,1798393,1919366,1952042,2043409,2157093,2219775,2236217,2435885,2474472,2432022,2377767,2410240,2485596,2535537,2585762,2400197,2359274,2177454,2197757,2271002,2301292,2262531,2380691,2484357,2517053,2488999,2471077,2459877,2569179,2555521,2621213,2702821,2683207,2672890,2783212,2867279,2770456,2856081,2937199,2930253,2924177,2859709,2958525,2917143,2712923,2866327,2850137,2771190,2895955,2933714,2850526,2799511,2701874,2837602,,,,,,,,,,,,,,,,,,,,,,,,
KS,631316,618147,639460,641033,657075,723629,763521,722888,793842,839336,874267,908254,961171,966322,959652,924911,972467,981082,1037084,1132093,1022129,947309,944960,917190,1016638,1011726,974201,1015692,1069693,1042967,1074411,1070458,1057384,1085841,1111842,1078398,1109687,1101174,1088848,1108311,1116109,1063914,1099484,1140145,1121296,1067023,1095718,1157469,1119535,1088231,1116226,1103568,1073796,1102456,1134923,1104572,1092203,1075137,1134492,,,,,,,,,,,,,,,,,,,,,,,,
KY,823236,818917,836442,888319,890219,899590,905831,953994,1014155,1073330,1104720,1117666,1203074,1236974,1228332,1278425,1400423,1414018,1400112,1432637,1367982,1297313,1262083,1276623,1375310,1329732,1304571,1341279,1419083,1509038,1489868,1515784,1582211,1618620,1671777,1741938,1761014,1767765,1725018,1815367,1802618,1832560,1989605,1923756,1998031,2018197,2009346,2044160,2008086,1930522,1992732,1919165,1880400,1823445,1772850,1729122,1704658,1658980,1743944,,,,,,,,,,,,,,,,,,,,,,,,
LA,1502163,1564830,1580187,1747248,1866221,1832996,1973892,2236542,2422111,2701453,2836864,2897554,3083286,3317510,3408243,3107626,3535790,3936486,4095231,4044689,3908929,3961906,3637354,3431465,3575817,3340207,3500802,3564236,3601826,3759315,3704139,3708377,3817827,3883991,4020890,4064879,4240432,4328538,4047864,4026488,4330579,3823437,3958145,3809616,4011693,3854682,4026180,4286897,4228087,4035500,4211801,4207288,4070233,3994009,4031437,4043655,4159788,4363128,4403154,,,,,,,,,,,,,,,,,,,,,,,,
MA,1054127,1079950,1111915,1083270,1119625,1245258,1247984,1326492,1373613,1402415,1464384,1493798,1546466,1581551,1475055,1420313,1499176,1486580,1471615,1308451,1246693,1215717,1234902,1231961,1292240,1313664,1383264,1404906,1427362,1459706,1418231,1376472,1443841,1445182,1451557,1436968,1463140,1456922,1428047,1450436,1535714,1516968,1533530,1499087,1498063,1503542,1432786,1458176,1435835,1375637,1419179,1400310,1363700,1428527,1433810,1449187,1421047,1423703,1458647,,,,,,,,,,,,,,,,,,,,,,,,
MD,697260,699934,748394,775284,823757,859906,900300,915531,968996,1023972,1067972,1104522,1122760,1214593,1123057,1069386,1148110,1129827,1154687,1219177,1156510,1140938,1102129,1120386,1192374,1160048,1182435,1249115,1288359,1320439,1277680,1274478,1264902,1315345,1323800,1341801,1380811,1386411,1384577,1425265,1459886,1451217,1539539,1590449,1570234,1596813,1482301,1505960,1466520,1455444,1467099,1411383,1368555,1390590,1398840,1395930,1355746,1314891,1361165,,,,,,,,,,,,,,,,,,,,,,,,
ME,232332,244897,237907,241423,242725,232176,244258,256811,271194,288283,302380,353571,380418,378940,354413,324651,380599,396866,384636,363580,381550,380501,426436,391587,418276,423461,444354,433183,484767,478996,430659,435294,449327,452399,461886,431302,458152,443177,418462,430397,463343,426028,430762,430431,443142,447801,427755,450333,455348,413101,421942,420744,403934,416296,416969,426166,395266,391739,395251,,,,,,,,,,,,,,,,,,,,,,,,
MI,1851644,1876674,1985156,2072621,2140394,2278302,2430278,2490875,2627315,2734264,2702538,2798196,2970324,3060405,2916310,2865742,2983999,2873174,2942354,2923445,2824417,2673062,2525049,2521430,2597220,2634458,2651892,2639558,2812015,2845535,2866603,2800618,2850077,2847744,2871299,3000186,3105729,3106640,3058629,3227372,3225008,3104288,3161372,3202233,3164951,3215169,3046605,3022749,2915379,2690321,2751771,2786792,2685893,2837667,2882469,2792588,2769741,2773927,2894187,,,,,,,,,,,,,,,,,,,,,,,,
